log_name,method,I_comp,I_nn,I_prec,I_tri
BPIC12_W_Complete,Bose 2009 Substitution Scores w_9,0.4975,0.4803,0.429,0.6956
BPIC12_W_Complete,Chiorrini 2022 Embedding Process Structure,0.964,0.7345,0.7941,0.8813
BPIC12_W_Complete,De Koninck 2018 act2vec CBOW w_3,0.3092,0.133,0.1252,0.2888
BPIC12_W_Complete,De Koninck 2018 act2vec CBOW w_5,0.2884,0.1073,0.0967,0.2495
BPIC12_W_Complete,De Koninck 2018 act2vec CBOW w_9,0.2753,0.0691,0.063,0.2158
BPIC12_W_Complete,De Koninck 2018 act2vec skip-gram w_3,0.2244,0.1115,0.0669,0.3342
BPIC12_W_Complete,De Koninck 2018 act2vec skip-gram w_5,0.2234,0.0908,0.0464,0.3078
BPIC12_W_Complete,De Koninck 2018 act2vec skip-gram w_9,0.2151,0.0873,0.0536,0.3056
BPIC12_W_Complete,Gamallo Fernandez 2023 Context Based w_3,0.2908,0.1118,0.0716,0.4627
BPIC12_W_Complete,Unit Distance,0.0,0.1587,0.1268,0.0
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.8527,0.6503,0.7661,0.8276
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.7579,0.4894,0.5308,0.7146
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.7351,0.4564,0.513,0.6911
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.8527,0.6503,0.7661,0.8276
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.7578,0.4888,0.5308,0.7141
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.7241,0.4589,0.5213,0.6897
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.9009,0.7584,0.8327,0.8726
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.721,0.5092,0.5521,0.7117
BPIC13_closed_problems,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.691,0.4756,0.4765,0.7208
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.9051,0.7264,0.83,0.8701
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.8192,0.6379,0.6836,0.8113
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.8015,0.5728,0.6283,0.7783
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.8902,0.7034,0.8102,0.8568
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.7587,0.581,0.6235,0.7766
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.7204,0.5429,0.5978,0.7524
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram w_3,0.9199,0.8048,0.8771,0.8925
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram w_5,0.7464,0.5871,0.5669,0.8242
BPIC13_closed_problems,Activity-Activitiy Co Occurrence N-Gram w_9,0.6192,0.618,0.5639,0.8053
BPIC13_closed_problems,Activity-Context Bag Of Words PMI w_3,0.616,0.6367,0.712,0.8655
BPIC13_closed_problems,Activity-Context Bag Of Words PMI w_5,0.2684,0.3704,0.3513,0.6762
BPIC13_closed_problems,Activity-Context Bag Of Words PMI w_9,0.121,0.3348,0.3139,0.605
BPIC13_closed_problems,Activity-Context Bag Of Words PPMI w_3,0.387,0.5567,0.5992,0.8112
BPIC13_closed_problems,Activity-Context Bag Of Words PPMI w_5,0.1227,0.2825,0.2759,0.5623
BPIC13_closed_problems,Activity-Context Bag Of Words PPMI w_9,0.0598,0.3156,0.2977,0.5598
BPIC13_closed_problems,Activity-Context Bag Of Words w_3,0.7504,0.5903,0.5927,0.8184
BPIC13_closed_problems,Activity-Context Bag Of Words w_5,0.4721,0.6965,0.6927,0.7589
BPIC13_closed_problems,Activity-Context Bag Of Words w_9,0.4799,0.7186,0.722,0.7614
BPIC13_closed_problems,Activity-Context N-Grams PMI w_3,0.5478,0.6007,0.6622,0.8542
BPIC13_closed_problems,Activity-Context N-Grams PMI w_5,0.205,0.4434,0.4388,0.7142
BPIC13_closed_problems,Activity-Context N-Grams PMI w_9,0.067,0.5408,0.5209,0.7053
BPIC13_closed_problems,Activity-Context N-Grams PPMI w_3,0.3664,0.5532,0.6079,0.8161
BPIC13_closed_problems,Activity-Context N-Grams PPMI w_5,0.1012,0.4137,0.4197,0.6577
BPIC13_closed_problems,Activity-Context N-Grams PPMI w_9,0.0452,0.5287,0.5131,0.6845
BPIC13_closed_problems,Activity-Context N-Grams w_3,0.7589,0.6291,0.649,0.8289
BPIC13_closed_problems,Activity-Context N-Grams w_5,0.499,0.717,0.7197,0.7647
BPIC13_closed_problems,Activity-Context N-Grams w_9,0.5102,0.7272,0.7235,0.7641
BPIC13_closed_problems,Bose 2009 Substitution Scores w_3,0.8112,0.5076,0.4471,0.8161
BPIC13_closed_problems,Bose 2009 Substitution Scores w_5,0.7659,0.5551,0.4843,0.753
BPIC13_closed_problems,Bose 2009 Substitution Scores w_9,0.8295,0.5701,0.5081,0.7659
BPIC13_closed_problems,Chiorrini 2022 Embedding Process Structure,0.8638,0.4466,0.4773,0.744
BPIC13_closed_problems,De Koninck 2018 act2vec CBOW w_3,0.4143,0.2152,0.2502,0.4345
BPIC13_closed_problems,De Koninck 2018 act2vec CBOW w_5,0.419,0.2212,0.2507,0.4355
BPIC13_closed_problems,De Koninck 2018 act2vec CBOW w_9,0.4181,0.2266,0.2647,0.4425
BPIC13_closed_problems,De Koninck 2018 act2vec skip-gram w_3,0.417,0.2063,0.2303,0.5146
BPIC13_closed_problems,De Koninck 2018 act2vec skip-gram w_5,0.4247,0.2198,0.2445,0.5202
BPIC13_closed_problems,De Koninck 2018 act2vec skip-gram w_9,0.4218,0.2057,0.2291,0.5179
BPIC13_closed_problems,Gamallo Fernandez 2023 Context Based w_3,0.2668,0.0935,0.078,0.4225
BPIC13_closed_problems,Unit Distance,0.0,0.1026,0.0988,0.0
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.6348,0.4933,0.4762,0.6139
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.5834,0.3965,0.4166,0.5892
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.4961,0.3177,0.3101,0.497
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.6349,0.4933,0.4762,0.6139
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.5833,0.3754,0.4011,0.5426
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.4953,0.2725,0.2502,0.425
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.6814,0.4822,0.4913,0.6226
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.6183,0.4167,0.4058,0.5747
BPIC13_incidents,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.4259,0.2545,0.2429,0.4028
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.6027,0.4234,0.4274,0.5231
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.4903,0.3264,0.3191,0.4733
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.5454,0.4623,0.4624,0.607
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.6095,0.4259,0.4264,0.5244
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.5033,0.2939,0.3036,0.4368
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.5355,0.4045,0.3738,0.5849
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram w_3,0.6008,0.4304,0.423,0.5402
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram w_5,0.4662,0.3248,0.2752,0.4518
BPIC13_incidents,Activity-Activitiy Co Occurrence N-Gram w_9,0.3746,0.3809,0.2983,0.5124
BPIC13_incidents,Activity-Context Bag Of Words PMI w_3,0.6778,0.8816,0.9146,0.9049
BPIC13_incidents,Activity-Context Bag Of Words PMI w_5,0.4417,0.7139,0.6733,0.8281
BPIC13_incidents,Activity-Context Bag Of Words PMI w_9,0.3283,0.6174,0.6038,0.7243
BPIC13_incidents,Activity-Context Bag Of Words PPMI w_3,0.2044,0.5118,0.4755,0.5898
BPIC13_incidents,Activity-Context Bag Of Words PPMI w_5,0.1278,0.3365,0.3229,0.5152
BPIC13_incidents,Activity-Context Bag Of Words PPMI w_9,0.1277,0.3721,0.331,0.51
BPIC13_incidents,Activity-Context Bag Of Words w_3,0.3968,0.4225,0.4337,0.513
BPIC13_incidents,Activity-Context Bag Of Words w_5,0.1557,0.278,0.1552,0.49
BPIC13_incidents,Activity-Context Bag Of Words w_9,0.1316,0.4174,0.369,0.5601
BPIC13_incidents,Activity-Context N-Grams PMI w_3,0.4898,0.8071,0.8502,0.8518
BPIC13_incidents,Activity-Context N-Grams PMI w_5,0.2721,0.6233,0.6294,0.7628
BPIC13_incidents,Activity-Context N-Grams PMI w_9,0.1726,0.5326,0.4979,0.6927
BPIC13_incidents,Activity-Context N-Grams PPMI w_3,0.2332,0.5112,0.4992,0.6811
BPIC13_incidents,Activity-Context N-Grams PPMI w_5,0.1188,0.2965,0.2575,0.5285
BPIC13_incidents,Activity-Context N-Grams PPMI w_9,0.0992,0.3503,0.2935,0.5521
BPIC13_incidents,Activity-Context N-Grams w_3,0.4016,0.4938,0.4389,0.6642
BPIC13_incidents,Activity-Context N-Grams w_5,0.2021,0.5503,0.527,0.6392
BPIC13_incidents,Activity-Context N-Grams w_9,0.1943,0.6693,0.6541,0.7356
BPIC13_incidents,Bose 2009 Substitution Scores w_3,0.6413,0.4378,0.3667,0.6177
BPIC13_incidents,Bose 2009 Substitution Scores w_5,0.6139,0.3217,0.2396,0.502
BPIC13_incidents,Bose 2009 Substitution Scores w_9,0.6295,0.4791,0.371,0.6523
BPIC13_incidents,Chiorrini 2022 Embedding Process Structure,0.9378,0.6485,0.6746,0.7723
BPIC13_incidents,De Koninck 2018 act2vec CBOW w_3,0.4567,0.3236,0.2501,0.5123
BPIC13_incidents,De Koninck 2018 act2vec CBOW w_5,0.45,0.3215,0.237,0.5153
BPIC13_incidents,De Koninck 2018 act2vec CBOW w_9,0.4582,0.3528,0.2796,0.5377
BPIC13_incidents,De Koninck 2018 act2vec skip-gram w_3,0.3842,0.2969,0.1952,0.5353
BPIC13_incidents,De Koninck 2018 act2vec skip-gram w_5,0.3734,0.33,0.26,0.53
BPIC13_incidents,De Koninck 2018 act2vec skip-gram w_9,0.3834,0.3343,0.2454,0.5556
BPIC13_incidents,Gamallo Fernandez 2023 Context Based w_3,0.2321,0.3009,0.2782,0.547
BPIC13_incidents,Unit Distance,0.0,0.2103,0.1094,0.0
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.6899,0.6558,0.6361,0.6959
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.5707,0.463,0.4477,0.5406
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.5372,0.4569,0.4306,0.509
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.6899,0.6558,0.6361,0.6959
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.5707,0.463,0.4477,0.5406
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.5372,0.4569,0.4306,0.509
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.644,0.6824,0.6692,0.6821
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.5677,0.5213,0.5095,0.5826
BPIC13_open_problems,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.5207,0.5049,0.4898,0.5621
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.7703,0.788,0.7757,0.8317
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.6246,0.6252,0.5861,0.6969
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.581,0.538,0.4898,0.6218
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.7703,0.788,0.7757,0.8317
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.6246,0.6252,0.5861,0.6969
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.581,0.538,0.4898,0.6218
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram w_3,0.7345,0.7569,0.7,0.8036
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram w_5,0.6141,0.6442,0.6181,0.7045
BPIC13_open_problems,Activity-Activitiy Co Occurrence N-Gram w_9,0.572,0.5391,0.4678,0.6623
BPIC13_open_problems,Activity-Context Bag Of Words PMI w_3,0.4704,0.7437,0.6935,0.8064
BPIC13_open_problems,Activity-Context Bag Of Words PMI w_5,0.2349,0.5414,0.4912,0.6598
BPIC13_open_problems,Activity-Context Bag Of Words PMI w_9,0.1263,0.4046,0.3792,0.491
BPIC13_open_problems,Activity-Context Bag Of Words PPMI w_3,0.4098,0.6104,0.5583,0.6783
BPIC13_open_problems,Activity-Context Bag Of Words PPMI w_5,0.0865,0.4083,0.3641,0.4516
BPIC13_open_problems,Activity-Context Bag Of Words PPMI w_9,0.0427,0.3331,0.3241,0.3356
BPIC13_open_problems,Activity-Context Bag Of Words w_3,0.5794,0.6863,0.6667,0.6692
BPIC13_open_problems,Activity-Context Bag Of Words w_5,0.3792,0.4102,0.3618,0.4218
BPIC13_open_problems,Activity-Context Bag Of Words w_9,0.3795,0.4514,0.4081,0.4895
BPIC13_open_problems,Activity-Context N-Grams PMI w_3,0.4511,0.7113,0.6458,0.8151
BPIC13_open_problems,Activity-Context N-Grams PMI w_5,0.1726,0.5322,0.4639,0.6178
BPIC13_open_problems,Activity-Context N-Grams PMI w_9,0.1159,0.5215,0.4887,0.6105
BPIC13_open_problems,Activity-Context N-Grams PPMI w_3,0.3853,0.544,0.4449,0.67
BPIC13_open_problems,Activity-Context N-Grams PPMI w_5,0.0739,0.397,0.3389,0.42
BPIC13_open_problems,Activity-Context N-Grams PPMI w_9,0.0593,0.4694,0.4347,0.5059
BPIC13_open_problems,Activity-Context N-Grams w_3,0.6262,0.7535,0.6958,0.7952
BPIC13_open_problems,Activity-Context N-Grams w_5,0.5051,0.8116,0.7898,0.8915
BPIC13_open_problems,Activity-Context N-Grams w_9,0.5614,0.8736,0.8951,0.9226
BPIC13_open_problems,Bose 2009 Substitution Scores w_3,0.512,0.7674,0.7465,0.863
BPIC13_open_problems,Bose 2009 Substitution Scores w_5,0.5034,0.8343,0.8266,0.9127
BPIC13_open_problems,Bose 2009 Substitution Scores w_9,0.5432,0.8403,0.8183,0.9065
BPIC13_open_problems,Chiorrini 2022 Embedding Process Structure,0.8629,0.6979,0.7505,0.7853
BPIC13_open_problems,De Koninck 2018 act2vec CBOW w_3,0.336,0.3116,0.2924,0.3591
BPIC13_open_problems,De Koninck 2018 act2vec CBOW w_5,0.3544,0.337,0.3148,0.3685
BPIC13_open_problems,De Koninck 2018 act2vec CBOW w_9,0.3413,0.3164,0.3021,0.3642
BPIC13_open_problems,De Koninck 2018 act2vec skip-gram w_3,0.3415,0.3421,0.2979,0.4109
BPIC13_open_problems,De Koninck 2018 act2vec skip-gram w_5,0.3413,0.337,0.2873,0.3934
BPIC13_open_problems,De Koninck 2018 act2vec skip-gram w_9,0.3318,0.3292,0.2625,0.3933
BPIC13_open_problems,Gamallo Fernandez 2023 Context Based w_3,0.1289,0.3352,0.2944,0.4623
BPIC13_open_problems,Unit Distance,0.0,0.2884,0.1743,0.0
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.72,0.5876,0.6541,0.7121
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.7265,0.5806,0.6355,0.607
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.7326,0.512,0.5598,0.4838
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.6765,0.5845,0.6511,0.7112
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.631,0.5794,0.6345,0.6064
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.5497,0.5113,0.5591,0.4836
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.6346,0.5874,0.6418,0.709
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.5392,0.593,0.6365,0.6065
BPIC15_1,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.3887,0.508,0.5562,0.4836
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.7274,0.5988,0.664,0.7019
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.7509,0.5658,0.6171,0.5628
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.7013,0.451,0.4969,0.4142
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.6728,0.5957,0.6612,0.7009
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.6118,0.564,0.615,0.5625
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.4916,0.4508,0.4969,0.4141
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram w_3,0.6342,0.5981,0.6485,0.7002
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram w_5,0.4999,0.5701,0.6075,0.5626
BPIC15_1,Activity-Activitiy Co Occurrence N-Gram w_9,0.3141,0.4483,0.4894,0.4141
BPIC15_1,Activity-Context Bag Of Words PMI w_3,0.4356,0.6521,0.7216,0.6471
BPIC15_1,Activity-Context Bag Of Words PMI w_5,0.2947,0.5928,0.6611,0.563
BPIC15_1,Activity-Context Bag Of Words PMI w_9,0.1999,0.5078,0.5714,0.4619
BPIC15_1,Activity-Context Bag Of Words PPMI w_3,0.3987,0.6519,0.7216,0.6471
BPIC15_1,Activity-Context Bag Of Words PPMI w_5,0.2915,0.5926,0.6614,0.563
BPIC15_1,Activity-Context Bag Of Words PPMI w_9,0.1996,0.5078,0.5724,0.4619
BPIC15_1,Activity-Context Bag Of Words w_3,0.5807,0.646,0.7123,0.647
BPIC15_1,Activity-Context Bag Of Words w_5,0.4601,0.5865,0.6535,0.563
BPIC15_1,Activity-Context Bag Of Words w_9,0.3259,0.5039,0.5695,0.4619
BPIC15_1,Activity-Context N-Grams PMI w_3,0.447,0.6408,0.7086,0.6345
BPIC15_1,Activity-Context N-Grams PMI w_5,0.269,0.5637,0.6281,0.532
BPIC15_1,Activity-Context N-Grams PMI w_9,0.173,0.437,0.5006,0.3977
BPIC15_1,Activity-Context N-Grams PPMI w_3,0.3832,0.6408,0.7086,0.6344
BPIC15_1,Activity-Context N-Grams PPMI w_5,0.2666,0.5639,0.6286,0.532
BPIC15_1,Activity-Context N-Grams PPMI w_9,0.173,0.4373,0.5012,0.3977
BPIC15_1,Activity-Context N-Grams w_3,0.5703,0.6383,0.7028,0.6344
BPIC15_1,Activity-Context N-Grams w_5,0.4255,0.5606,0.626,0.532
BPIC15_1,Activity-Context N-Grams w_9,0.2657,0.4356,0.4973,0.3977
BPIC15_1,Bose 2009 Substitution Scores w_3,0.7394,0.5989,0.6426,0.6849
BPIC15_1,Bose 2009 Substitution Scores w_5,0.7592,0.5492,0.5987,0.5677
BPIC15_1,Bose 2009 Substitution Scores w_9,0.7482,0.4327,0.4897,0.4212
BPIC15_1,Chiorrini 2022 Embedding Process Structure,0.962,0.1601,0.2105,0.6247
BPIC15_1,De Koninck 2018 act2vec CBOW w_3,0.9361,0.5966,0.6387,0.8745
BPIC15_1,De Koninck 2018 act2vec CBOW w_5,0.9268,0.5424,0.5645,0.8712
BPIC15_1,De Koninck 2018 act2vec CBOW w_9,0.9111,0.4852,0.5116,0.8645
BPIC15_1,De Koninck 2018 act2vec skip-gram w_3,0.9378,0.5925,0.6481,0.8799
BPIC15_1,De Koninck 2018 act2vec skip-gram w_5,0.9365,0.5249,0.5667,0.8805
BPIC15_1,De Koninck 2018 act2vec skip-gram w_9,0.9341,0.4678,0.5133,0.879
BPIC15_1,Gamallo Fernandez 2023 Context Based w_3,0.5248,0.0204,0.0245,0.5083
BPIC15_1,Unit Distance,0.1099,0.002,0.0,0.0
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.6719,0.5632,0.6222,0.6609
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.6743,0.5311,0.574,0.5389
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.6808,0.4733,0.5145,0.4446
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.6403,0.5614,0.6187,0.6597
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.5805,0.5299,0.5734,0.5384
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.523,0.473,0.5145,0.4445
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.6205,0.5439,0.5951,0.6597
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.503,0.5295,0.5584,0.539
BPIC15_2,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.3696,0.4734,0.5085,0.4445
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.6743,0.5672,0.63,0.6459
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.6913,0.5182,0.5677,0.5061
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.6658,0.4183,0.4605,0.3829
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.6393,0.5652,0.6266,0.6449
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.5752,0.5178,0.5677,0.5057
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.4619,0.4183,0.4605,0.3829
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram w_3,0.6189,0.5448,0.5937,0.6448
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram w_5,0.4647,0.5155,0.5577,0.5057
BPIC15_2,Activity-Activitiy Co Occurrence N-Gram w_9,0.2849,0.4165,0.4533,0.3828
BPIC15_2,Activity-Context Bag Of Words PMI w_3,0.4089,0.6034,0.6522,0.5914
BPIC15_2,Activity-Context Bag Of Words PMI w_5,0.278,0.5374,0.5869,0.5043
BPIC15_2,Activity-Context Bag Of Words PMI w_9,0.2043,0.4641,0.5138,0.428
BPIC15_2,Activity-Context Bag Of Words PPMI w_3,0.3917,0.6034,0.6522,0.5913
BPIC15_2,Activity-Context Bag Of Words PPMI w_5,0.2778,0.5374,0.5869,0.5043
BPIC15_2,Activity-Context Bag Of Words PPMI w_9,0.2043,0.4641,0.5138,0.428
BPIC15_2,Activity-Context Bag Of Words w_3,0.5515,0.594,0.6425,0.5912
BPIC15_2,Activity-Context Bag Of Words w_5,0.4152,0.5331,0.5826,0.5042
BPIC15_2,Activity-Context Bag Of Words w_9,0.3016,0.4646,0.5156,0.428
BPIC15_2,Activity-Context N-Grams PMI w_3,0.3939,0.6044,0.6567,0.5872
BPIC15_2,Activity-Context N-Grams PMI w_5,0.258,0.5217,0.5766,0.4861
BPIC15_2,Activity-Context N-Grams PMI w_9,0.1742,0.3982,0.4569,0.3625
BPIC15_2,Activity-Context N-Grams PPMI w_3,0.3793,0.6044,0.6567,0.5871
BPIC15_2,Activity-Context N-Grams PPMI w_5,0.2579,0.5217,0.5766,0.4861
BPIC15_2,Activity-Context N-Grams PPMI w_9,0.1742,0.3982,0.4569,0.3625
BPIC15_2,Activity-Context N-Grams w_3,0.5425,0.5898,0.6416,0.5871
BPIC15_2,Activity-Context N-Grams w_5,0.3831,0.5158,0.5722,0.4861
BPIC15_2,Activity-Context N-Grams w_9,0.2356,0.3984,0.4592,0.3625
BPIC15_2,Bose 2009 Substitution Scores w_3,0.7281,0.5158,0.5301,0.6484
BPIC15_2,Bose 2009 Substitution Scores w_5,0.7612,0.5052,0.545,0.5202
BPIC15_2,Bose 2009 Substitution Scores w_9,0.749,0.3981,0.4551,0.3865
BPIC15_2,Chiorrini 2022 Embedding Process Structure,0.9683,0.1642,0.2166,0.6544
BPIC15_2,De Koninck 2018 act2vec CBOW w_3,0.9285,0.6016,0.6468,0.8637
BPIC15_2,De Koninck 2018 act2vec CBOW w_5,0.9238,0.5548,0.5928,0.8609
BPIC15_2,De Koninck 2018 act2vec CBOW w_9,0.9094,0.4953,0.5195,0.8548
BPIC15_2,De Koninck 2018 act2vec skip-gram w_3,0.9367,0.583,0.6447,0.876
BPIC15_2,De Koninck 2018 act2vec skip-gram w_5,0.9345,0.5504,0.6095,0.8744
BPIC15_2,De Koninck 2018 act2vec skip-gram w_9,0.9358,0.4952,0.5511,0.8727
BPIC15_2,Gamallo Fernandez 2023 Context Based w_3,0.5438,0.0159,0.0217,0.5183
BPIC15_2,Unit Distance,0.1153,0.0055,0.0025,0.0
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PMI w_3,0.7044,0.5849,0.6403,0.7418
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PMI w_5,0.6869,0.5623,0.6138,0.5617
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PMI w_9,0.6734,0.4932,0.5335,0.4715
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_3,0.6385,0.5836,0.64,0.7402
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_5,0.5674,0.5599,0.6136,0.56
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words PPMI w_9,0.5155,0.492,0.5326,0.4711
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words w_3,0.5883,0.5546,0.6066,0.7341
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words w_5,0.4911,0.5595,0.5992,0.5599
BPIC15_3,Activity-Activitiy Co Occurrence Bag Of Words w_9,0.3841,0.4917,0.5263,0.4711
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PMI w_3,0.6992,0.5877,0.6399,0.7202
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PMI w_5,0.6928,0.5503,0.6008,0.5326
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PMI w_9,0.704,0.4532,0.4845,0.4266
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PPMI w_3,0.6329,0.5865,0.6403,0.7186
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PPMI w_5,0.5673,0.5491,0.5998,0.5318
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram PPMI w_9,0.479,0.4531,0.4845,0.4266
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram w_3,0.5879,0.5787,0.6229,0.7147
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram w_5,0.4731,0.5495,0.5936,0.5318
BPIC15_3,Activity-Activitiy Co Occurrence N-Gram w_9,0.3268,0.4484,0.4781,0.4266
BPIC15_3,Activity-Context Bag Of Words PMI w_3,0.3876,0.6382,0.6926,0.6472
